,title,price,year,link,brand,age
0,1970s left-handed 5-string banjo,375,1970.0,https://charlottesville.craigslist.org/msg/d/charlottesville-1970s-left-handed/7818227548.html,missing,55.0
1,"new casematix 16"" hard travel case",40,,https://charlottesville.craigslist.org/msg/d/charlottesville-new-casematix-16-hard/7822515852.html,missing,
2,esp ltd m-1000 ebony,750,,https://charlottesville.craigslist.org/msg/d/culpeper-esp-ltd-1000-ebony/7824260151.html,esp,
3,gibson les paul faded (2018),900,2018.0,https://charlottesville.craigslist.org/msg/d/charlottesville-gibson-les-paul-faded/7822280640.html,gibson,7.0
4,hand pan hang drum   symphonic steel,2500,,https://charlottesville.craigslist.org/msg/d/charlottesville-hand-pan-hang-drum/7824165197.html,missing,
5,"esp edwards alexi laiho ""geeny""",1400,,https://charlottesville.craigslist.org/msg/d/culpeper-esp-edwards-alexi-laiho-geeny/7822167359.html,esp,
6,guitar maintenance accessories assortment,30,,https://charlottesville.craigslist.org/msg/d/charlottesville-guitar-maintenance/7823569141.html,missing,
7,ampeg ba-108 bass amp (20 watts),75,,https://charlottesville.craigslist.org/msg/d/culpeper-ampeg-ba-108-bass-amp-20-watts/7824134382.html,missing,
8,"slide guitar package (instructionals, slides, capos)",40,,https://charlottesville.craigslist.org/msg/d/charlottesville-slide-guitar-package/7820592995.html,missing,
9,martin d35 sunburst with fishman pickup,2800,,https://charlottesville.craigslist.org/msg/d/charlottesville-martin-d35-sunburst/7818717919.html,martin,
10,"levy's, dunlop, and generic adjustable guitar straps",25,,https://charlottesville.craigslist.org/msg/d/charlottesville-levys-dunlop-and/7818440714.html,missing,
11,westcreek racer gt,200,,https://charlottesville.craigslist.org/msg/d/concord-westcreek-racer-gt/7819779494.html,missing,
12,1990 washburn d28 n/s acoustic,350,1990.0,https://charlottesville.craigslist.org/msg/d/concord-1990-washburn-d28-s-acoustic/7818158744.html,missing,35.0
13,yamaha motif 8,300,,https://charlottesville.craigslist.org/msg/d/charlottesville-yamaha-motif/7824058076.html,yamaha,
14,"eminence ragin cajun 10"" guitar speaker 75w 8ohms",80,,https://charlottesville.craigslist.org/msg/d/glen-allen-eminence-ragin-cajun-10/7824042791.html,missing,
15,-the little big guitar scale handbook-,21,,https://charlottesville.craigslist.org/msg/d/dallas-the-little-big-guitar-scale/7819615139.html,missing,
16,yamaha jx40 guitar amp mij,300,,https://charlottesville.craigslist.org/msg/d/glen-allen-yamaha-jx40-guitar-amp-mij/7823917866.html,yamaha,
17,want - guitar body / bass neck / broken or unwanted stuff,1,,https://charlottesville.craigslist.org/msg/d/charlottesville-want-guitar-body-bass/7823905243.html,missing,
18,used drum equipment jackpot,5000,,https://charlottesville.craigslist.org/msg/d/charlottesville-used-drum-equipment/7823686218.html,missing,
19,evh wolfgang standard,600,,https://charlottesville.craigslist.org/msg/d/charlottesville-evh-wolfgang-standard/7820759262.html,evh,
20,dean edge q5 5 string bass,250,,https://charlottesville.craigslist.org/msg/d/palmyra-dean-edge-q5-string-bass/7823670306.html,missing,
21,"chibson bass & guitars for sale or trade ""not gibson's""",1,,https://charlottesville.craigslist.org/msg/d/palmyra-chibson-bass-guitars-for-sale/7823670088.html,missing,
22,hot rod deville 2x12,375,,https://charlottesville.craigslist.org/msg/d/palmyra-hot-rod-deville-2x12/7823666464.html,missing,
23,fender squier classic vibe 50's duo-sonic,300,,https://charlottesville.craigslist.org/msg/d/palmyra-fender-squier-classic-vibe-50s/7823666014.html,missing,
24,randall rt50h 50w tube head,400,,https://charlottesville.craigslist.org/msg/d/palmyra-randall-rt50h-50w-tube-head/7823665896.html,missing,
25,presonus audiobox usb audio interface,20,,https://charlottesville.craigslist.org/msg/d/palmyra-presonus-audiobox-usb-audio/7823665664.html,missing,
26,presonus firebox 24bit/96k firewire recording interface 2 channel inpu,20,,https://charlottesville.craigslist.org/msg/d/palmyra-presonus-firebox-24bit-96k/7823665551.html,missing,
27,(100) 45 rpm records,30,,https://charlottesville.craigslist.org/msg/d/troy-rpm-records/7819013356.html,missing,
28,"vintage 22"" continental bass drum, good condition",35,,https://charlottesville.craigslist.org/msg/d/crozet-vintage-22-continental-bass-drum/7821447465.html,missing,
29,"peavey audition 110 guitar amp, works great, made in usa",80,,https://charlottesville.craigslist.org/msg/d/crozet-peavey-audition-110-guitar-amp/7823610255.html,missing,
30,"heavy duty amp stand or monitor stand, vgc",40,,https://charlottesville.craigslist.org/msg/d/crozet-heavy-duty-amp-stand-or-monitor/7823608572.html,missing,
31,"cleanout, 3 items, work but need power cords",50,,https://charlottesville.craigslist.org/msg/d/crozet-cleanout-items-work-but-need/7823606800.html,missing,
32,bobelock luxurious professional suspension viola case,150,,https://charlottesville.craigslist.org/msg/d/scottsville-bobelock-luxurious/7819030704.html,missing,
33,senal xu-1648 xlr-to-usb adapte,30,,https://charlottesville.craigslist.org/msg/d/palmyra-senal-xu-1648-xlr-to-usb-adapte/7819030895.html,missing,
